seed,tau,Group,rs,rm
12,0.3,High-Risk,0.9705882352941176,0.9816176470588235
12,0.3,Low-Risk,0.8525641025641025,0.8717948717948718
12,0.4,Overall,0.8107302533532041,0.827123695976155
12,0.4,High-Risk,0.9375,0.9485294117647058
12,0.4,Low-Risk,0.7051282051282052,0.7307692307692307
12,0.5,Overall,0.6974664679582713,0.676602086438152
12,0.5,High-Risk,0.875,0.8492647058823529
12,0.5,Low-Risk,0.532051282051282,0.48717948717948717
12,0.6,Overall,0.5842026825633383,0.5529061102831595
12,0.6,High-Risk,0.8235294117647058,0.7794117647058824
12,0.6,Low-Risk,0.34615384615384615,0.3141025641025641
12,0.7,Overall,0.45752608047690013,0.4038748137108793
12,0.7,High-Risk,0.7132352941176471,0.6176470588235294
12,0.7,Low-Risk,0.20512820512820512,0.16666666666666666
13,0.3,Overall,0.9031296572280179,0.9225037257824144
13,0.3,High-Risk,0.9883268482490273,0.9844357976653697
13,0.3,Low-Risk,0.7902097902097902,0.8461538461538461
13,0.4,Overall,0.8211624441132638,0.827123695976155
13,0.4,High-Risk,0.9455252918287937,0.9571984435797666
13,0.4,Low-Risk,0.6783216783216783,0.6713286713286714
13,0.5,Overall,0.7198211624441133,0.7287630402384501
13,0.5,High-Risk,0.8949416342412452,0.9027237354085603
13,0.5,Low-Risk,0.5104895104895105,0.5104895104895105
13,0.6,Overall,0.6035767511177347,0.5901639344262295
13,0.6,High-Risk,0.7898832684824902,0.7626459143968871
13,0.6,Low-Risk,0.35664335664335667,0.34265734265734266
13,0.7,Overall,0.47690014903129657,0.43815201192250375
13,0.7,High-Risk,0.6731517509727627,0.6186770428015564
13,0.7,Low-Risk,0.17482517482517482,0.1888111888111888
14,0.3,Overall,0.9031296572280179,0.9165424739195231
14,0.3,High-Risk,0.9634146341463414,0.975609756097561
14,0.3,Low-Risk,0.8133333333333334,0.8533333333333334
14,0.4,Overall,0.8241430700447094,0.8375558867362146
14,0.4,High-Risk,0.9349593495934959,0.9552845528455285
14,0.4,Low-Risk,0.68,0.6866666666666666
14,0.5,Overall,0.7391952309985097,0.7347242921013413
14,0.5,High-Risk,0.8943089430894309,0.8821138211382114
14,0.5,Low-Risk,0.5333333333333333,0.5666666666666667
14,0.6,Overall,0.61698956780924,0.6020864381520119
14,0.6,High-Risk,0.7926829268292683,0.7845528455284553
14,0.6,Low-Risk,0.36666666666666664,0.4
14,0.7,Overall,0.47690014903129657,0.43219076005961254
14,0.7,High-Risk,0.6504065040650406,0.5934959349593496
14,0.7,Low-Risk,0.20666666666666667,0.20666666666666667
15,0.3,Overall,0.9061102831594635,0.9120715350223547
15,0.3,High-Risk,0.9681978798586572,0.9752650176678446
15,0.3,Low-Risk,0.8435374149659864,0.8435374149659864
15,0.4,Overall,0.8330849478390462,0.842026825633383
15,0.4,High-Risk,0.9293286219081273,0.9399293286219081
15,0.4,Low-Risk,0.7346938775510204,0.7414965986394558
15,0.5,Overall,0.7302533532041728,0.7302533532041728
15,0.5,High-Risk,0.8692579505300353,0.8869257950530035
15,0.5,Low-Risk,0.5850340136054422,0.5510204081632653
15,0.6,Overall,0.6140089418777943,0.5663189269746647
15,0.6,High-Risk,0.773851590106007,0.734982332155477
15,0.6,Low-Risk,0.3945578231292517,0.36054421768707484
15,0.7,Overall,0.46497764530551416,0.4008941877794337
15,0.7,High-Risk,0.6360424028268551,0.568904593639576
15,0.7,Low-Risk,0.25170068027210885,0.2108843537414966
16,0.3,Overall,0.9090909090909091,0.9284649776453056
16,0.3,High-Risk,0.9796610169491525,0.9898305084745763
16,0.3,Low-Risk,0.8301886792452831,0.8616352201257862
16,0.4,Overall,0.8330849478390462,0.8330849478390462
16,0.4,High-Risk,0.9322033898305084,0.9389830508474576
16,0.4,Low-Risk,0.6981132075471698,0.710691823899371
16,0.5,Overall,0.7540983606557377,0.7272727272727273
16,0.5,High-Risk,0.8779661016949153,0.8711864406779661
16,0.5,Low-Risk,0.5911949685534591,0.5471698113207547
16,0.6,Overall,0.6274217585692996,0.6110283159463488
16,0.6,High-Risk,0.8101694915254237,0.7898305084745763
16,0.6,Low-Risk,0.39622641509433965,0.389937106918239
16,0.7,Overall,0.47690014903129657,0.42921013412816694
16,0.7,High-Risk,0.6779661016949152,0.6237288135593221
16,0.7,Low-Risk,0.23270440251572327,0.1949685534591195
17,0.3,Overall,0.8837555886736215,0.910581222056632
17,0.3,High-Risk,0.9759036144578314,0.9799196787148594
17,0.3,Low-Risk,0.8223684210526315,0.8881578947368421
17,0.4,Overall,0.8002980625931445,0.8152011922503726
17,0.4,High-Risk,0.9397590361445783,0.9558232931726908
17,0.4,Low-Risk,0.6907894736842105,0.7236842105263158
17,0.5,Overall,0.7078986587183308,0.7213114754098361
17,0.5,High-Risk,0.8755020080321285,0.8755020080321285
17,0.5,Low-Risk,0.5592105263157895,0.6052631578947368
17,0.6,Overall,0.6110283159463488,0.5886736214605067
17,0.6,High-Risk,0.7831325301204819,0.7670682730923695
17,0.6,Low-Risk,0.4407894736842105,0.40131578947368424
17,0.7,Overall,0.4798807749627422,0.4172876304023845
17,0.7,High-Risk,0.6666666666666666,0.5742971887550201
17,0.7,Low-Risk,0.2894736842105263,0.2236842105263158
18,0.3,Overall,0.9031296572280179,0.9165424739195231
18,0.3,High-Risk,0.9764705882352941,0.984313725490196
18,0.3,Low-Risk,0.8142857142857143,0.8214285714285714
18,0.4,Overall,0.8301043219076006,0.8435171385991058
18,0.4,High-Risk,0.9411764705882353,0.9450980392156862
18,0.4,Low-Risk,0.6714285714285714,0.6928571428571428
18,0.5,Overall,0.7406855439642325,0.7436661698956781
18,0.5,High-Risk,0.9019607843137255,0.8901960784313725
18,0.5,Low-Risk,0.4857142857142857,0.4928571428571429
18,0.6,Overall,0.6229508196721312,0.5842026825633383
18,0.6,High-Risk,0.8117647058823529,0.7529411764705882
18,0.6,Low-Risk,0.3357142857142857,0.30714285714285716
18,0.7,Overall,0.5096870342771982,0.4396423248882265
18,0.7,High-Risk,0.6862745098039216,0.5725490196078431
18,0.7,Low-Risk,0.20714285714285716,0.22142857142857142
19,0.3,Overall,0.8882265275707899,0.910581222056632
19,0.3,High-Risk,0.968503937007874,0.9763779527559056
