seed,tau,Group,rs,rm
21,0.40000000,High-Risk,0.93801653,0.94628099
21,0.40000000,Low-Risk,0.72368421,0.71710526
21,0.50000000,Overall,0.72131148,0.72429210
21,0.50000000,High-Risk,0.85123967,0.88016529
21,0.50000000,Low-Risk,0.53289474,0.51315789
21,0.60000000,Overall,0.60953800,0.60506706
21,0.60000000,High-Risk,0.79752066,0.79338843
21,0.60000000,Low-Risk,0.36184211,0.33552632
21,0.70000000,Overall,0.49329359,0.49478390
21,0.70000000,High-Risk,0.71900826,0.71074380
21,0.70000000,Low-Risk,0.22368421,0.23684211
22,0.30000000,Overall,0.90014903,0.90312966
22,0.30000000,High-Risk,0.97424893,0.97424893
22,0.30000000,Low-Risk,0.77160494,0.77160494
22,0.40000000,Overall,0.82563338,0.83308495
22,0.40000000,High-Risk,0.91845494,0.91416309
22,0.40000000,Low-Risk,0.66666667,0.67901235
22,0.50000000,Overall,0.73174367,0.73025335
22,0.50000000,High-Risk,0.86695279,0.85836910
22,0.50000000,Low-Risk,0.52469136,0.51234568
22,0.60000000,Overall,0.61400894,0.60953800
22,0.60000000,High-Risk,0.78969957,0.76824034
22,0.60000000,Low-Risk,0.33950617,0.35802469
22,0.70000000,Overall,0.47391952,0.46795827
22,0.70000000,High-Risk,0.64806867,0.63519313
22,0.70000000,Low-Risk,0.20987654,0.18518519
23,0.30000000,Overall,0.92697466,0.93442623
23,0.30000000,High-Risk,0.99230769,0.99230769
23,0.30000000,Low-Risk,0.83673469,0.86394558
23,0.40000000,Overall,0.84351714,0.85842027
23,0.40000000,High-Risk,0.96538462,0.96153846
23,0.40000000,Low-Risk,0.63265306,0.68707483
23,0.50000000,Overall,0.77496274,0.77645306
23,0.50000000,High-Risk,0.93461538,0.93846154
23,0.50000000,Low-Risk,0.51020408,0.51020408
23,0.60000000,Overall,0.65126677,0.66020864
23,0.60000000,High-Risk,0.84615385,0.84615385
23,0.60000000,Low-Risk,0.31292517,0.35374150
23,0.70000000,Overall,0.50521610,0.47839046
23,0.70000000,High-Risk,0.70000000,0.66153846
23,0.70000000,Low-Risk,0.14965986,0.14965986
24,0.30000000,Overall,0.89567809,0.90014903
24,0.30000000,High-Risk,0.95769231,0.95384615
24,0.30000000,Low-Risk,0.80000000,0.83333333
24,0.40000000,Overall,0.81073025,0.81967213
24,0.40000000,High-Risk,0.90384615,0.90769231
24,0.40000000,Low-Risk,0.65333333,0.68000000
24,0.50000000,Overall,0.71087928,0.71236960
24,0.50000000,High-Risk,0.85384615,0.85000000
24,0.50000000,Low-Risk,0.45333333,0.49333333
24,0.60000000,Overall,0.60208644,0.60357675
24,0.60000000,High-Risk,0.75769231,0.75769231
24,0.60000000,Low-Risk,0.36000000,0.34666667
24,0.70000000,Overall,0.46795827,0.45752608
24,0.70000000,High-Risk,0.59230769,0.56153846
24,0.70000000,Low-Risk,0.26000000,0.26666667
25,0.30000000,Overall,0.90611028,0.90461997
25,0.30000000,High-Risk,0.96747967,0.97154472
25,0.30000000,Low-Risk,0.78431373,0.79084967
25,0.40000000,Overall,0.84202683,0.84649776
25,0.40000000,High-Risk,0.94715447,0.95528455
25,0.40000000,Low-Risk,0.69934641,0.70588235
25,0.50000000,Overall,0.73919523,0.74217586
25,0.50000000,High-Risk,0.90243902,0.89837398
25,0.50000000,Low-Risk,0.52941176,0.52287582
25,0.60000000,Overall,0.63785395,0.63636364
25,0.60000000,High-Risk,0.83333333,0.82113821
25,0.60000000,Low-Risk,0.39215686,0.40522876
25,0.70000000,Overall,0.50074516,0.49776453
25,0.70000000,High-Risk,0.67073171,0.66260163
25,0.70000000,Low-Risk,0.20915033,0.21568627
26,0.30000000,Overall,0.90611028,0.90760060
26,0.30000000,High-Risk,0.96484375,0.96875000
26,0.30000000,Low-Risk,0.80272109,0.78911565
26,0.40000000,Overall,0.82563338,0.82563338
26,0.40000000,High-Risk,0.93359375,0.92578125
26,0.40000000,Low-Risk,0.63945578,0.63945578
26,0.50000000,Overall,0.72131148,0.72578241
26,0.50000000,High-Risk,0.88281250,0.87890625
26,0.50000000,Low-Risk,0.49659864,0.48979592
26,0.60000000,Overall,0.60506706,0.61847988
26,0.60000000,High-Risk,0.76953125,0.78515625
26,0.60000000,Low-Risk,0.31972789,0.31972789
26,0.70000000,Overall,0.46646796,0.44858420
26,0.70000000,High-Risk,0.64453125,0.62109375
26,0.70000000,Low-Risk,0.14285714,0.14965986
