seed,Group,Model,ROC,PR,Rec,F1
31,Marginal,M,0.5954731909788089,0.6169797085228006,0.5430711610486891,0.5731225296442688
31,Clear,S,0.8893963589907378,0.9095145023451081,0.844059405940594,0.8567839195979899
31,Clear,M,0.8787767486426061,0.89952494551836,0.844059405940594,0.8567839195979899
32,Marginal,S,0.6732091857550854,0.7140428160456784,0.5913621262458472,0.6368515205724508
32,Marginal,M,0.6380194672728332,0.6875536019803856,0.6212624584717608,0.6437177280550774
32,Clear,S,0.886227441499007,0.8927610886410872,0.8486486486486486,0.8614540466392319
32,Clear,M,0.8810292720835852,0.8943615106718652,0.8486486486486486,0.8602739726027397
33,Marginal,S,0.6482504100601422,0.6646568688957141,0.5796610169491525,0.6206896551724138
33,Marginal,M,0.5754237288135594,0.5964830221281439,0.6101694915254238,0.6112054329371817
33,Clear,S,0.8929090116912352,0.9066770202155642,0.851063829787234,0.8731241473396999
33,Clear,M,0.8824250236003195,0.8952802096495245,0.851063829787234,0.8731241473396999
34,Marginal,S,0.6551020118813004,0.6490933944906014,0.5800711743772242,0.5981651376146789
34,Marginal,M,0.6321475663183564,0.6360616509220127,0.6227758007117438,0.6194690265486725
34,Clear,S,0.9027232537577365,0.9240315528438594,0.8333333333333334,0.8666666666666667
34,Clear,M,0.8945092838196287,0.9156971906096182,0.8307692307692308,0.8651535380507344
35,Marginal,S,0.6468362138962996,0.6649571641261536,0.6081081081081081,0.6405693950177936
35,Marginal,M,0.5655666396009743,0.5923797919525383,0.5641891891891891,0.583916083916084
35,Clear,S,0.8991688311688312,0.9159107309363121,0.8533333333333334,0.8660351826792964
35,Clear,M,0.8973679653679654,0.9183116323978854,0.8533333333333334,0.8648648648648649
36,Marginal,S,0.6225057652208735,0.6500075628818939,0.5775577557755776,0.6151142355008787
36,Marginal,M,0.6149660991203723,0.6542892050732068,0.6039603960396039,0.6172006745362564
36,Clear,S,0.8832331557731068,0.8919452445764482,0.8777173913043478,0.8647925033467202
36,Clear,M,0.8811996112870717,0.886753995670351,0.8722826086956522,0.8617449664429531
37,Marginal,S,0.6029965635738832,0.6199531081786931,0.5532646048109966,0.5875912408759124
37,Marginal,M,0.5838762886597938,0.6192922139192906,0.5670103092783505,0.590339892665474
37,Clear,S,0.8986163863266413,0.9135555310439156,0.8605263157894737,0.8755020080321285
37,Clear,M,0.8911376379092061,0.9027801676773284,0.8578947368421053,0.8728246318607764
38,Marginal,S,0.6790356803160744,0.693156950387025,0.6325878594249201,0.6513157894736842
38,Marginal,M,0.6437577738214276,0.6439875744324752,0.6293929712460063,0.6448445171849427
38,Clear,S,0.9260627540497787,0.9341246823267173,0.8463687150837989,0.8808139534883721
38,Clear,M,0.9124166516489458,0.9281504906556584,0.8463687150837989,0.8808139534883721
39,Marginal,S,0.6810237985823899,0.6942049223018243,0.6105610561056105,0.6491228070175439
39,Marginal,M,0.6486053668658005,0.6686537955718462,0.6237623762376238,0.6417657045840407
39,Clear,S,0.9204537328375286,0.9184649062904849,0.8913043478260869,0.8949522510231923
39,Clear,M,0.916127359839817,0.917388391455123,0.8913043478260869,0.8937329700272479
40,Marginal,S,0.6660856009070294,0.6799419383810901,0.6076388888888888,0.631768953068592
40,Marginal,M,0.6270266439909298,0.624364098661288,0.6180555555555556,0.6289752650176679
40,Clear,S,0.8904188130689437,0.9055839236112342,0.8407310704960835,0.8667563930013459
40,Clear,M,0.8894749841225037,0.9055366311889779,0.8407310704960835,0.8655913978494624
41,Marginal,S,0.6273067160595458,0.6414803141061606,0.5465116279069767,0.5875
41,Marginal,M,0.5885127255265143,0.5947653260671169,0.5775193798449613,0.6008064516129032
41,Clear,S,0.8681194511702985,0.8877301714396939,0.8401937046004843,0.8494492044063647
41,Clear,M,0.8556439524962527,0.8728790442719786,0.837772397094431,0.8480392156862745
42,Marginal,S,0.6544228863505972,0.6792843318457519,0.5876623376623377,0.6252158894645942
42,Marginal,M,0.6381108850988368,0.6647905928517553,0.5811688311688312,0.614065180102916
42,Clear,S,0.8946092305370015,0.9134943567142596,0.8071625344352618,0.8554744525547445
42,Clear,M,0.8820238499566022,0.9023752931460023,0.8071625344352618,0.8554744525547445
43,Marginal,S,0.6644931831653823,0.6744217700293582,0.6326530612244898,0.6584070796460177
43,Marginal,M,0.6428994834448302,0.6669093051189637,0.5918367346938775,0.628158844765343
43,Clear,S,0.8731741821396994,0.8895020030179374,0.8594164456233422,0.8448500651890483
43,Clear,M,0.8663837312113175,0.8822066028038182,0.8541114058355438,0.8429319371727748
44,Marginal,S,0.668708273724368,0.6720236685969504,0.6493055555555556,0.6702508960573477
44,Marginal,M,0.6518836432999524,0.690828239686497,0.6493055555555556,0.6584507042253521
44,Clear,S,0.8950612051134244,0.9035704317057809,0.8746736292428199,0.8746736292428199
44,Clear,M,0.8894747550100031,0.8985435390596057,0.8746736292428199,0.8746736292428199
45,Marginal,S,0.674906600249066,0.7101319645717298,0.6267123287671232,0.6606498194945848
45,Marginal,M,0.6428082191780822,0.6581828351704488,0.6095890410958904,0.6472727272727272
45,Clear,S,0.858958235724443,0.8695511774707242,0.8073878627968337,0.8281461434370772
45,Clear,M,0.8544209635127693,0.8683399791949168,0.8047493403693932,0.8254397834912043
46,Marginal,S,0.6467710241020226,0.6886630272301748,0.5942492012779552,0.6305084745762712
46,Marginal,M,0.607256005454035,0.6413669836559979,0.6166134185303515,0.636963696369637
46,Clear,S,0.8776591808797959,0.8819389579691873,0.8631284916201117,0.8535911602209945
46,Clear,M,0.8730900144289467,0.8639956505291303,0.8603351955307262,0.8520055325034578
47,Marginal,S,0.640047611318509,0.6678573901458751,0.5808580858085809,0.6230088495575221
47,Marginal,M,0.607247200129849,0.6450197948691856,0.5247524752475248,0.5781818181818181
47,Clear,S,0.8834358073488509,0.8895195121705927,0.8505434782608695,0.8505434782608695
47,Clear,M,0.87424059434929,0.8804383958091331,0.8505434782608695,0.8505434782608695
48,Marginal,S,0.6671940928270041,0.7288405374619724,0.6107594936708861,0.6487394957983194
48,Marginal,M,0.621849322673773,0.6697872555768958,0.5759493670886076,0.6127946127946128
48,Clear,S,0.8883499077532286,0.8953690523125587,0.8,0.8427299703264095
48,Clear,M,0.8835440759573415,0.8926815855425798,0.7915492957746478,0.8375558867362146
49,Marginal,S,0.6705887473522327,0.6744149397707997,0.6503496503496503,0.6702702702702703
49,Marginal,M,0.6406000638365784,0.6423623638058498,0.6223776223776224,0.6345811051693404
49,Clear,S,0.8842337662337663,0.8976588715122051,0.8493506493506493,0.856020942408377
49,Clear,M,0.8709956709956709,0.8820492867517757,0.8493506493506493,0.8537859007832899
50,Marginal,S,0.6823404730031236,0.6831339068218718,0.6458333333333334,0.6607460035523979
50,Marginal,M,0.6652024765729585,0.650500511561303,0.6666666666666666,0.6678260869565218
50,Clear,S,0.8863246181909225,0.9074394422927223,0.8668407310704961,0.8679738562091504
50,Clear,M,0.8910279337601487,0.9093955405172629,0.8616187989556136,0.8650065530799476
