seed,tau,Group,rs,rm
4,0.6,Low-Risk,0.2883435582822086,0.294478527607362
4,0.7,Overall,0.45901639344262296,0.3979135618479881
4,0.7,High-Risk,0.6168582375478927,0.49808429118773945
4,0.7,Low-Risk,0.17791411042944785,0.15950920245398773
5,0.3,Overall,0.910581222056632,0.9254843517138599
5,0.3,High-Risk,0.9755244755244755,0.9895104895104895
5,0.3,Low-Risk,0.8013698630136986,0.8424657534246576
5,0.4,Overall,0.8301043219076006,0.8479880774962743
5,0.4,High-Risk,0.9475524475524476,0.958041958041958
5,0.4,Low-Risk,0.6438356164383562,0.6712328767123288
5,0.5,Overall,0.7451564828614009,0.736214605067064
5,0.5,High-Risk,0.8881118881118881,0.8916083916083916
5,0.5,Low-Risk,0.5547945205479452,0.5205479452054794
5,0.6,Overall,0.6199701937406855,0.5767511177347243
5,0.6,High-Risk,0.8146853146853147,0.7727272727272727
5,0.6,Low-Risk,0.3835616438356164,0.3698630136986301
5,0.7,Overall,0.46944858420268254,0.40536512667660207
5,0.7,High-Risk,0.6538461538461539,0.583916083916084
5,0.7,Low-Risk,0.2191780821917808,0.19863013698630136
6,0.3,Overall,0.9046199701937406,0.9269746646795827
6,0.3,High-Risk,0.9629629629629629,0.9794238683127572
6,0.3,Low-Risk,0.8064516129032258,0.8516129032258064
6,0.4,Overall,0.8301043219076006,0.8390461997019374
6,0.4,High-Risk,0.9300411522633745,0.9382716049382716
6,0.4,Low-Risk,0.7161290322580646,0.7096774193548387
6,0.5,Overall,0.7436661698956781,0.7287630402384501
6,0.5,High-Risk,0.897119341563786,0.8765432098765432
6,0.5,Low-Risk,0.5935483870967742,0.567741935483871
6,0.6,Overall,0.6140089418777943,0.5737704918032787
6,0.6,High-Risk,0.7695473251028807,0.7407407407407407
6,0.6,Low-Risk,0.41935483870967744,0.36129032258064514
6,0.7,Overall,0.45901639344262296,0.39046199701937406
6,0.7,High-Risk,0.6255144032921811,0.5349794238683128
6,0.7,Low-Risk,0.25161290322580643,0.22580645161290322
7,0.3,Overall,0.9284649776453056,0.9418777943368107
7,0.3,High-Risk,0.9768339768339769,0.9845559845559846
7,0.3,Low-Risk,0.8851351351351351,0.8986486486486487
7,0.4,Overall,0.8464977645305514,0.8599105812220567
7,0.4,High-Risk,0.9227799227799228,0.9498069498069498
7,0.4,Low-Risk,0.7364864864864865,0.7702702702702703
7,0.5,Overall,0.7526080476900149,0.7466467958271237
7,0.5,High-Risk,0.8918918918918919,0.8764478764478765
7,0.5,Low-Risk,0.5540540540540541,0.581081081081081
7,0.6,Overall,0.61698956780924,0.5931445603576752
7,0.6,High-Risk,0.7799227799227799,0.7760617760617761
7,0.6,Low-Risk,0.36486486486486486,0.33783783783783783
7,0.7,Overall,0.481371087928465,0.4187779433681073
7,0.7,High-Risk,0.6061776061776062,0.5598455598455598
7,0.7,Low-Risk,0.25,0.21621621621621623
8,0.3,Overall,0.9031296572280179,0.9239940387481371
8,0.3,High-Risk,0.975,0.9857142857142858
8,0.3,Low-Risk,0.8238993710691824,0.8867924528301887
8,0.4,Overall,0.8315946348733234,0.8524590163934426
8,0.4,High-Risk,0.9392857142857143,0.9571428571428572
8,0.4,Low-Risk,0.6981132075471698,0.7547169811320755
8,0.5,Overall,0.7123695976154992,0.7153502235469449
8,0.5,High-Risk,0.8857142857142857,0.9
8,0.5,Low-Risk,0.4968553459119497,0.5031446540880503
8,0.6,Overall,0.6020864381520119,0.5827123695976155
8,0.6,High-Risk,0.8107142857142857,0.8035714285714286
8,0.6,Low-Risk,0.3710691823899371,0.34591194968553457
8,0.7,Overall,0.46646795827123694,0.4068554396423249
8,0.7,High-Risk,0.6642857142857143,0.6142857142857143
8,0.7,Low-Risk,0.2389937106918239,0.18867924528301888
9,0.3,Overall,0.9120715350223547,0.9225037257824144
9,0.3,High-Risk,0.9603174603174603,0.9722222222222222
9,0.3,Low-Risk,0.8201438848920863,0.841726618705036
9,0.4,Overall,0.819672131147541,0.8390461997019374
9,0.4,High-Risk,0.9047619047619048,0.9126984126984127
9,0.4,Low-Risk,0.6618705035971223,0.7122302158273381
9,0.5,Overall,0.7302533532041728,0.7257824143070045
9,0.5,High-Risk,0.8333333333333334,0.8134920634920635
9,0.5,Low-Risk,0.539568345323741,0.5755395683453237
9,0.6,Overall,0.61698956780924,0.5663189269746647
9,0.6,High-Risk,0.746031746031746,0.6825396825396826
9,0.6,Low-Risk,0.38848920863309355,0.38848920863309355
9,0.7,Overall,0.46944858420268254,0.40238450074515647
9,0.7,High-Risk,0.5992063492063492,0.5079365079365079
9,0.7,Low-Risk,0.2517985611510791,0.22302158273381295
10,0.3,Overall,0.9046199701937406,0.9284649776453056
10,0.3,High-Risk,0.9714285714285714,0.9918367346938776
10,0.3,Low-Risk,0.8064516129032258,0.8516129032258064
