seed,design,Group,Model,ROC,Rec
35,FOLD,Clear,S,0.89915152,0.85333333
35,FOLD,Clear,M,0.89037229,0.85333333
36,FULL,Marginal,S,0.62251957,0.57755776
36,FULL,Marginal,M,0.61597415,0.56435644
36,FULL,Clear,S,0.88320616,0.87771739
36,FULL,Clear,M,0.87851821,0.87500000
36,FOLD,Marginal,S,0.62251957,0.57755776
36,FOLD,Marginal,M,0.61950923,0.61716172
36,FOLD,Clear,S,0.88320616,0.87771739
36,FOLD,Clear,M,0.88100166,0.87500000
37,FULL,Marginal,S,0.60305155,0.55326460
37,FULL,Marginal,M,0.60960825,0.58762887
37,FULL,Clear,S,0.89861639,0.86052632
37,FULL,Clear,M,0.90373485,0.86052632
37,FOLD,Marginal,S,0.60299656,0.55326460
37,FOLD,Marginal,M,0.59565636,0.58419244
37,FOLD,Clear,S,0.89861639,0.86052632
37,FOLD,Clear,M,0.90056972,0.86052632
38,FULL,Marginal,S,0.67903568,0.63258786
38,FULL,Marginal,M,0.66071995,0.61341853
38,FULL,Clear,S,0.92606275,0.84636872
38,FULL,Clear,M,0.91234657,0.84916201
38,FOLD,Marginal,S,0.67903568,0.63258786
38,FOLD,Marginal,M,0.66379289,0.62300319
38,FOLD,Clear,S,0.92606275,0.84636872
38,FOLD,Clear,M,0.91459923,0.84357542
39,FULL,Marginal,S,0.68096810,0.61056106
39,FULL,Marginal,M,0.68318224,0.67326733
39,FULL,Clear,S,0.92041798,0.89130435
39,FULL,Clear,M,0.92460133,0.89130435
39,FOLD,Marginal,S,0.68096810,0.61056106
39,FOLD,Marginal,M,0.68620406,0.65676568
39,FOLD,Clear,S,0.92045373,0.89130435
39,FOLD,Clear,M,0.92373427,0.89402174
40,FULL,Marginal,S,0.66631236,0.60763889
40,FULL,Marginal,M,0.65728458,0.60763889
40,FULL,Clear,S,0.89044528,0.84073107
40,FULL,Clear,M,0.89035707,0.84073107
40,FOLD,Marginal,S,0.66631236,0.60763889
40,FOLD,Marginal,M,0.66417234,0.61111111
40,FOLD,Clear,S,0.89044528,0.84073107
40,FOLD,Clear,M,0.89018947,0.84073107
41,FULL,Marginal,S,0.62730672,0.54651163
41,FULL,Marginal,M,0.61279756,0.54651163
41,FULL,Clear,S,0.86811945,0.84019370
41,FULL,Clear,M,0.86319997,0.83535109
41,FOLD,Marginal,S,0.62730672,0.54651163
41,FOLD,Marginal,M,0.59585306,0.54651163
41,FOLD,Clear,S,0.86813482,0.84019370
41,FOLD,Clear,M,0.86928014,0.83777240
42,FULL,Marginal,S,0.65442289,0.58766234
42,FULL,Marginal,M,0.65812601,0.60389610
42,FULL,Clear,S,0.89462810,0.80716253
42,FULL,Clear,M,0.88999585,0.80165289
42,FOLD,Marginal,S,0.65407083,0.58766234
