row_id,success_count,credit_score,loan_amount,num_investors,interest_rate,total_count,success_rate,loan_purpose,social_insurance,months_of_service,loan_year,age,bank_loan
83,-5.1993376,0.63485111,-5.1993376,-1.3684503,-2.0431151,-0.1422445,-0.67055744,5.1993376,5.1993376,-5.1993376,1.3781138,-1.0230033,1.9031265
84,-5.1993376,1.3249577,1.649237,1.2075323,-0.26398459,-0.1422445,-0.67055744,5.1993376,5.1993376,-0.28744217,-0.21363612,-0.79704409,1.0315088
85,-5.1993376,-1.1140325,-0.1422445,-0.089192496,-0.26398459,-5.1993376,0.25360621,5.1993376,5.1993376,0.34948301,0.69910809,0.14858402,0.18642145
86,-5.1993376,0.38572587,0.2239158,0.25360621,0.087932998,0.29660674,-1.1768904,5.1993376,-5.1993376,0.06025574,0.18547963,0.45146888,0.38437477
87,0.51349142,0.21620388,0.11820414,1.123415,-0.26398459,0.29660674,0.25360621,5.1993376,-5.1993376,-0.053972647,-0.21363612,-1.0230033,-5.1993376
88,-5.1993376,0.25101592,-0.1422445,0.50492201,0.97546566,-5.1993376,0.25360621,5.1993376,-5.1993376,-0.92233022,-0.21363612,2.3076067,-5.1993376
89,-5.1993376,0.63485111,-0.1422445,0.0062728847,-1.3219458,-5.1993376,0.25360621,5.1993376,-5.1993376,-0.78332986,0.69910809,0.29922973,-5.1993376
90,2.1079532,-0.65337661,-1.0307974,-0.98357337,0.30448193,1.4354772,1.2447784,5.1993376,-5.1993376,0.45842568,-0.60746322,-0.001254569,1.4250105
91,-5.1993376,0.50349739,1.649237,1.7055704,-2.3259725,-0.1422445,-0.67055744,-5.1993376,-5.1993376,-0.28744217,2.1196682,1.9858764,1.7360149
92,-5.1993376,0.79360155,-0.1422445,0.092971849,-0.69112102,-5.1993376,0.25360621,5.1993376,5.1993376,1.4319709,0.69910809,-0.001254569,-5.1993376
93,-5.1993376,2.2542411,-0.1422445,0.29267606,-2.9707282,-5.1993376,0.25360621,-5.1993376,-5.1993376,0.22262957,2.1196682,0.58052362,-5.1993376
94,-5.1993376,0.36017172,0.55253687,1.6640817,0.63946185,1.8803524,-2.7474533,-5.1993376,-5.1993376,-0.78332986,-0.60746322,0.45146888,-5.1993376
95,1.0230033,-0.028859086,1.401177,1.2895781,-0.69112102,2.2899878,-1.6741858,-5.1993376,5.1993376,1.7861556,0.69910809,1.3494976,0.49213682
96,-5.1993376,-0.97143575,-0.7315153,-0.23808933,-1.3219458,-5.1993376,0.25360621,5.1993376,5.1993376,-0.45564031,1.3781138,-0.79704409,-5.1993376
97,-5.1993376,0.33485067,-0.1422445,0.98561042,0.17400458,-5.1993376,0.25360621,5.1993376,-5.1993376,0.0062728847,-0.21363612,-1.6691125,0.65789301
98,-5.1993376,-1.1140325,0.2239158,0.36821529,-0.26398459,-5.1993376,0.25360621,5.1993376,5.1993376,-0.053972647,0.69910809,-0.36553148,-5.1993376
99,-5.1993376,-0.94757994,-0.1422445,-0.089192496,0.97546566,-5.1993376,0.25360621,5.1993376,5.1993376,1.1844468,-0.60746322,0.45146888,-5.1993376
100,0.51349142,-0.54524419,-5.1993376,-1.144896,-0.83733836,0.29660674,0.25360621,5.1993376,-5.1993376,1.7861556,0.69910809,0.29922973,-5.1993376
101,0.51349142,-0.68317781,0.2239158,-0.90518882,0.087932998,0.62109893,-0.36687305,-5.1993376,5.1993376,-0.45564031,-1.1694007,-0.79704409,-5.1993376
102,0.51349142,2.7205493,1.0841952,-0.6150245,-2.6965111,-0.1422445,1.2447784,5.1993376,-5.1993376,1.0444088,2.1196682,-0.17527843,2.2923988
103,-5.1993376,-0.42660141,0.2239158,0.54088248,-0.83733836,-5.1993376,0.25360621,-5.1993376,-5.1993376,0.45842568,0.69910809,0.29922973,0.19281061
